column_a,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Benefits and Payroll Taxes,132.43872751061986,159.11607179927205,149.35724589754994,204.34410840467845,195.81454118683928,243.948163356815,408.31158002454055,503.0665756571828,462.3357196281654,347.4193992203623,243.21915241104355,227.09458559825867,223.03107151146006,267.79797244527344,305.27568489020047,277.4661579793662,183.35880463747768,252.2816100705548,312.039327829745,349.04115615127984,343.7510059098084
Per Diem/ Personnel,49.85635560669148,53.4117801735472,56.57680308403807,58.466927945644144,63.48635349170448,66.09083507380792,63.925512880643424,59.743286663226066,57.706104132004334,62.271955973400594,59.282289496118985,59.9812052200861,68.12825607438897,73.60311791512174,73.28948320641992,73.2986107643293,68.90610780788992,127.1378537710196,90.78119849792675,149.6295208290278,81.0410919450978
Purchased Goods,1513.4050561423326,1788.4374524267546,1683.40852508735,1356.389437697552,1309.2988711971666,1814.7368048426492,1934.5268832996176,1701.381790334127,1927.4552378917163,2660.081632653061,3953.0336367326095,4634.308384903199,4883.727600189444,7761.356657036919,3761.5548836872704,5187.667462322851,6521.27385766812,7016.682256883262,6736.832928215046,6406.110448466239,4215.9563413966125
Fuel/Oil,1455.6473819537741,1710.7287183248682,1608.424649328526,1284.8662365234852,1231.6016829369557,1744.9555736486247,1831.1169435772072,1572.5140260042951,1801.1253491673408,2521.1832148589774,3788.386287414335,4468.0903615969,4725.986893622481,7569.631794848464,3630.7804572099417,5032.774596262747,6319.910445751223,6888.227573654709,6639.301746649308,6311.382200112191,4093.6309743983606
Insurance,17.88627012161541,14.955298448593215,12.08866773559855,8.679620086243554,7.578312476486397,8.799721524065749,19.019735107076812,43.35658514658631,26.179918489460107,17.196055950470075,20.845025565936425,17.20088995405506,12.37614888361816,5.633781457807299,8.12339683024694,10.34657984359863,9.511338641158634,6.3434053383802125,3.5641880451224,2.756856898231525,2.492143314970479
Other (inc. Tax),39.871404066942844,62.75343565329311,62.89520802322547,62.8435810878232,70.11887578372432,60.98150966995882,84.3902046153336,85.51117918324537,100.1499702349152,121.70236184361384,143.80232375233763,149.0171333522439,145.36455768334494,186.09108073064763,122.65102964708153,144.546286216505,191.85207327573895,122.11127789017236,93.96699352061589,91.97139145581767,119.83322368328169
Maintenance,1196.1842156033943,1175.8705038958162,1224.818694601128,1158.6909032853298,1116.4685903229627,1225.06548904386,1205.5960090771703,1203.2447100737509,1111.8213179063698,1037.8720476954827,1280.7883590999393,1409.923026306903,1386.0796156770841,1370.6997869323568,1394.5164558590577,1330.9132401849652,1538.0548221361616,1420.5718346421863,1390.638907911471,1425.7609607038469,1445.8825605593
Labor,251.40925848624417,221.70516351356963,197.05545918392465,205.81936749609693,204.00589357687056,216.82183440121773,240.63502290611572,211.43556362062364,165.49768748187384,133.57303370786516,112.6454772664159,97.42797103211129,111.31552481173499,113.45472881265971,219.47444175518442,360.1031689754012,106.12225409819342,110.63252771795486,122.74688259596788,139.89507248088339,129.27606965272466
Materials,278.72624781201,245.7685760549151,227.53150586462857,193.89755469281297,236.23620472835137,196.93617473184892,246.10059108990788,167.98741405430602,196.3236304244959,175.12497133684934,234.6317941985812,186.3326830416669,188.03104320802458,211.7805175799762,161.34622033884676,107.06710477693328,227.1167980020159,208.96401197908736,236.98831302724955,226.92946768622124,207.73570760990185
Third Party,108.67689307174503,164.9373071121137,249.73290379120706,240.39815109047896,226.41857286106776,221.5373405548279,265.0713713822787,237.2683836382706,266.37842870880587,345.61614308644806,442.5052869929293,628.845548975453,589.607733253329,551.6613210193884,577.1431213463811,483.6838015720035,686.0071537296926,692.169360511069,724.6649308037898,739.0934722919311,822.7229025545166
